Time[hh:mm],Temperature[K]
11:00,289.90
11:01,290.68
11:02,290.07
11:03,-99.99
11:04,290.51
11:05,290.51
11:06,290.32
11:07,290.84
11:08,290.56
11:09,290.77
11:10,291.21
11:11,290.89
11:12,290.62
11:13,290.59
11:14,290.66
11:15,291.25
11:16,291.67
11:17,291.54
11:18,291.49
11:19,291.42
11:20,291.73
11:21,292.34
11:22,291.68
11:23,291.88
11:24,292.23
11:25,292.25
11:26,-99.99
11:27,-99.99
11:28,292.27
11:29,292.12
11:30,292.83
11:31,292.70
11:32,292.36
11:33,292.76
11:34,293.04
11:35,292.80
11:36,293.22
11:37,293.23
11:38,293.03
11:39,293.49
11:40,293.52
11:41,-99.99
11:42,293.48
11:43,-99.99
11:44,294.09
11:45,293.89
11:46,293.41
11:47,-99.99
11:48,294.01
11:49,293.96
11:50,294.24
11:51,294.10
11:52,294.26
11:53,294.25
11:54,294.22
11:55,-99.99
11:56,294.69
11:57,294.64
11:58,294.82
11:59,294.99
