Day  T_A [K]  T_B [K]  T_C [K]
  1  297.749  292.409  299.858
  2  300.188  298.307  297.036
  3  293.690  303.992  294.054
  4  288.074  292.950  287.257
  5  292.853  290.583  296.653
  6  313.054  305.315  293.358
  7  279.159  294.898  286.770
  8  280.793  296.571  289.290
  9  287.727  303.432  299.001
 10  291.836  311.426  264.936
 11  270.292  305.086  287.102
 12  297.546  308.815  287.052
 13  278.965  289.392  298.379
 14  324.298  310.476  301.094
 15  293.229  292.237  287.267
 16  284.887  290.003  298.972
 17  283.967  310.336  285.829
 18  287.449  296.855  283.403
 19  281.439  313.785  292.295
 20  296.861  303.308  299.054
 21  299.654  304.099  270.509
 22  292.236  289.065  278.218
 23  298.964  318.559  293.500
 24  279.709  297.600  290.434
 25  281.241  324.497  291.976
 26  274.712  287.161  288.371
 27  302.293  325.568  271.159
 28  294.525  297.270  296.063
 29  310.887  303.831  272.305
 30  294.890  298.472  302.676
 31  311.586  297.502  273.290
 32  296.809  293.950  281.653
 33  291.238  296.592  286.930
 34  304.781  311.071  275.834
 35  302.720  290.287  267.446
 36  315.492  307.522  260.093
 37  288.747  300.312  287.263
 38  303.787  298.932  267.544
 39  284.060  294.694  272.714
 40  323.936  307.632  292.296
 41  290.337  302.819  280.087
 42  310.413  296.423  275.402
 43  293.312  310.835  285.394
 44  303.312  293.820  285.261
 45  300.048  294.341  258.092
 46  298.913  320.615  289.061
 47  302.785  299.876  294.544
 48  277.146  280.742  274.089
 49  298.373  311.290  267.378
 50  301.929  287.372  282.707
 51  295.451  305.196  285.181
 52  308.711  306.861  283.425
 53  301.493  305.382  289.407
 54  321.573  315.430  279.128
 55  296.165  300.386  272.949
 56  298.110  299.287  284.827
 57  299.750  283.648  278.550
 58  311.986  312.725  289.691
 59  293.774  301.668  281.918
 60  299.788  285.807  258.955
 61  300.282  314.910  279.815
 62  313.984  284.214  275.237
 63  288.257  291.885  282.088
 64  303.936  303.427  283.981
 65  302.199  291.496  279.454
 66  319.134  297.977  272.814
 67  300.633  294.859  270.989
 68  288.437  283.459  281.197
 69  301.650  297.217  262.038
 70  308.362  311.940  287.789
 71  311.957  288.127  271.248
 72  312.507  295.114  278.888
 73  287.170  291.571  300.675
 74  310.368  293.914  273.105
 75  308.187  287.639  270.706
 76  291.839  295.039  270.670
 77  311.256  308.018  268.961
 78  307.497  281.003  254.562
 79  298.617  307.963  284.960
 80  309.300  313.078  284.198
 81  308.154  304.224  277.306
 82  297.667  287.609  257.477
 83  304.761  286.840  279.314
 84  312.403  299.421  266.070
 85  334.840  299.549  278.173
 86  303.133  292.332  265.621
 87  302.757  295.793  274.057
 88  321.275  288.448  256.727
 89  308.401  285.554  275.197
 90  304.584  290.715  277.775
 91  294.846  291.313  280.212
 92  296.534  288.225  277.331
 93  311.593  320.003  269.744
 94  291.834  281.011  260.119
 95  296.861  273.629  285.057
 96  292.908  284.627  266.795
 97  307.444  290.829  286.589
 98  299.352  283.510  295.717
 99  291.835  266.013  283.905
100  295.947  282.814  273.987
101  311.889  296.731  283.391
102  306.167  263.467  264.004
103  296.929  292.383  275.188
104  300.995  287.317  276.722
105  310.992  288.604  287.122
106  317.593  298.112  271.962
107  326.895  291.493  266.554
108  311.209  293.546  274.278
109  312.195  290.858  276.162
110  309.485  268.727  273.962
111  294.914  285.602  270.398
112  308.753  251.253  276.904
113  297.921  274.770  260.899
114  313.735  279.808  275.311
115  320.277  279.505  271.024
116  291.389  278.928  279.437
117  299.651  279.188  273.772
118  282.948  286.826  289.719
119  293.489  301.459  287.528
120  297.512  291.835  254.634
121  283.461  305.490  271.409
122  298.014  275.595  291.826
123  302.189  286.397  268.384
124  294.315  286.809  272.238
125  308.607  296.022  264.586
126  301.697  280.770  275.280
127  293.139  282.437  285.483
128  300.654  268.624  282.949
129  342.224  288.281  274.901
130  293.793  299.387  286.685
131  319.683  291.679  278.452
132  313.782  288.925  289.415
133  289.383  287.379  265.865
134  300.444  276.511  279.037
135  307.647  290.371  283.930
136  299.076  303.260  292.910
137  319.683  283.990  280.393
138  312.632  283.406  274.702
139  310.792  280.072  271.337
140  307.050  287.711  283.946
141  305.525  285.266  276.964
142  320.556  275.966  274.291
143  323.538  268.268  290.215
144  293.640  280.648  279.187
145  296.129  283.883  299.669
146  308.879  275.228  279.391
147  292.529  269.429  272.155
148  285.449  274.869  279.360
149  301.471  262.610  291.647
150  301.286  285.585  276.243
151  298.556  273.401  288.152
152  289.945  280.485  278.443
153  296.103  295.987  302.318
154  300.152  273.459  285.669
155  285.915  283.475  283.950
156  286.100  284.231  271.481
157  303.779  279.428  272.703
158  292.215  277.584  281.471
159  291.257  268.584  285.407
160  284.326  281.835  276.558
161  294.568  274.551  274.548
162  288.332  252.348  274.388
163  283.888  287.443  271.398
164  281.748  266.308  291.706
165  295.783  287.846  300.880
166  297.268  272.257  289.113
167  286.873  281.836  300.122
168  299.791  278.557  275.726
169  303.500  270.068  293.151
170  288.862  279.266  300.959
171  280.237  276.956  286.973
172  288.963  293.827  287.449
173  294.709  267.323  276.492
174  299.306  267.776  306.488
175  292.044  269.108  280.454
176  305.877  272.254  290.260
177  306.168  281.353  278.408
178  269.689  265.011  292.968
179  297.057  271.738  285.749
180  289.044  274.392  288.460
181  309.884  267.132  279.506
182  281.105  271.567  282.694
183  284.179  270.688  285.878
184  282.603  264.870  290.183
185  291.279  266.336  282.981
186  287.383  278.246  291.402
187  285.004  278.413  291.105
188  305.498  279.973  283.181
189  284.218  266.093  300.482
190  279.741  263.929  289.602
191  294.961  281.059  278.125
192  296.138  282.286  290.805
193  308.423  265.197  296.261
194  300.743  270.628  285.723
195  291.999  277.415  294.771
196  286.233  273.830  293.280
197  278.241  275.665  286.293
198  282.905  283.974  302.077
199  291.702  272.089  275.437
200  289.901  268.355  281.213
201  287.589  272.867  302.555
202  289.937  274.836  285.052
203  275.150  268.517  311.148
204  272.239  288.741  281.050
205  276.751  277.916  275.810
206  278.452  282.721  300.175
207  283.557  274.805  293.998
208  299.457  264.344  303.184
209  283.295  272.392  284.707
210  251.908  275.332  272.602
211  272.494  275.373  294.235
212  266.591  282.427  289.117
213  288.154  279.539  282.787
214  269.129  298.096  314.307
215  299.078  290.604  291.715
216  273.263  280.062  314.729
217  288.326  277.944  295.422
218  296.034  276.295  317.782
219  267.309  275.416  290.215
